date,disease,Region,type,incident_cases,incident_cases_low,incident_cases_upp,rate,rate_low,rate_up
6/4/18,malaria,CABO DELGADO,Observado,18215,18215,18215,754.2235619670097,754.2235619670097,754.2235619670097
6/11/18,malaria,CABO DELGADO,Observado,18192,18192,18192,752.8555054767311,752.8555054767311,752.8555054767311
6/18/18,malaria,CABO DELGADO,Observado,18056,18056,18056,746.8267985,746.8267985,746.8267985
6/25/18,malaria,CABO DELGADO,Observado,13376,13376,13376,552.9477131028386,552.9477131028386,552.9477131028386
7/2/18,malaria,CABO DELGADO,Observado,14666,14666,14666,605.9172851765647,605.9172851765647,605.9172851765647
7/9/18,malaria,CABO DELGADO,Observado,15956,15956,15956,658.8667406616438,658.8667406616438,658.8667406616438
7/16/18,malaria,CABO DELGADO,Observado,15354,15354,15354,633.6595970308199,633.6595970308199,633.6595970308199
7/23/18,malaria,CABO DELGADO,Observado,13699,13699,13699,565.0672954448052,565.0672954448052,565.0672954448052
7/30/18,malaria,CABO DELGADO,Observado,15436,15436,15436,636.3635063062299,636.3635063062299,636.3635063062299
8/6/18,malaria,CABO DELGADO,Observado,14380,14380,14380,592.4802653982026,592.4802653982026,592.4802653982026
8/13/18,malaria,CABO DELGADO,Observado,15989,15989,15989,658.4143505062566,658.4143505062566,658.4143505062566
8/20/18,malaria,CABO DELGADO,Observado,16183,16183,16183,666.0361593456577,666.0361593456577,666.0361593456577
8/27/18,malaria,CABO DELGADO,Observado,17779,17779,17779,731.3305592556883,731.3305592556883,731.3305592556883
9/3/18,malaria,CABO DELGADO,Observado,14561,14561,14561,598.6263357749243,598.6263357749243,598.6263357749243
9/10/18,malaria,CABO DELGADO,Observado,18172,18172,18172,746.6786754165793,746.6786754165793,746.6786754165793
9/17/18,malaria,CABO DELGADO,Observado,16684,16684,16684,685.1550633938311,685.1550633938311,685.1550633938311
9/24/18,malaria,CABO DELGADO,Observado,14877,14877,14877,610.6157241553215,610.6157241553215,610.6157241553215
10/1/18,malaria,CABO DELGADO,Observado,14636,14636,14636,600.3752585146581,600.3752585146581,600.3752585146581
10/8/18,malaria,CABO DELGADO,Observado,15933,15933,15933,653.2408462028097,653.2408462028097,653.2408462028097
10/15/18,malaria,CABO DELGADO,Observado,16054,16054,16054,657.8532094547671,657.8532094547671,657.8532094547671
10/22/18,malaria,CABO DELGADO,Observado,14485,14485,14485,593.2252794145247,593.2252794145247,593.2252794145247
10/29/18,malaria,CABO DELGADO,Observado,13101,13101,13101,536.2514478451395,536.2514478451395,536.2514478451395
11/5/18,malaria,CABO DELGADO,Observado,11367,11367,11367,465.0213596204824,465.0213596204824,465.0213596204824
11/12/18,malaria,CABO DELGADO,Observado,12233,12233,12233,500.1809579360808,500.1809579360808,500.1809579360808
11/19/18,malaria,CABO DELGADO,Observado,10263,10263,10263,419.3864291518829,419.3864291518829,419.3864291518829
11/26/18,malaria,CABO DELGADO,Observado,10837,10837,10837,442.6329216351684,442.6329216351684,442.6329216351684
12/3/18,malaria,CABO DELGADO,Observado,9943,9943,9943,405.8801517638014,405.8801517638014,405.8801517638014
12/10/18,malaria,CABO DELGADO,Observado,9884,9884,9884,403.2349164931101,403.2349164931101,403.2349164931101
12/17/18,malaria,CABO DELGADO,Observado,10442,10442,10442,425.7725306556356,425.7725306556356,425.7725306556356
12/24/18,malaria,CABO DELGADO,Observado,10554,10554,10554,430.1115111454045,430.1115111454045,430.1115111454045
12/31/18,malaria,CABO DELGADO,Observado,10393,10393,10393,423.3277068859895,423.3277068859895,423.3277068859895
1/7/19,malaria,CABO DELGADO,Observado,17406,17406,17406,708.9812437272716,708.9812437272716,708.9812437272716
1/14/19,malaria,CABO DELGADO,Observado,20524,20524,20524,835.5232473261168,835.5232473261168,835.5232473261168
1/21/19,malaria,CABO DELGADO,Observado,21543,21543,21543,876.5235935,876.5235935,876.5235935
1/28/19,malaria,CABO DELGADO,Observado,24076,24076,24076,979.0453122670564,979.0453122670564,979.0453122670564
2/4/19,malaria,CABO DELGADO,Observado,22235,22235,22235,903.6843296563392,903.6843296563392,903.6843296563392
2/11/19,malaria,CABO DELGADO,Observado,24828,24828,24828,1008.5156587019816,1008.5156587019816,1008.5156587019816
2/18/19,malaria,CABO DELGADO,Observado,22855,22855,22855,927.8623593,927.8623593,927.8623593
2/25/19,malaria,CABO DELGADO,Observado,21680,21680,21680,879.6768492237518,879.6768492237518,879.6768492237518
3/4/19,malaria,CABO DELGADO,Observado,18460,18460,18460,748.6128295980275,748.6128295980275,748.6128295980275
3/11/19,malaria,CABO DELGADO,Observado,21811,21811,21811,884.0217732564585,884.0217732564585,884.0217732564585
3/18/19,malaria,CABO DELGADO,Observado,20073,20073,20073,813.1330512009993,813.1330512009993,813.1330512009993
3/25/19,malaria,CABO DELGADO,Observado,19607,19607,19607,793.8209461645826,793.8209461645826,793.8209461645826
4/1/19,malaria,CABO DELGADO,Observado,20473,20473,20473,828.4286273139752,828.4286273139752,828.4286273139752
4/8/19,malaria,CABO DELGADO,Observado,19472,19472,19472,787.4926496102574,787.4926496102574,787.4926496102574
4/15/19,malaria,CABO DELGADO,Observado,20887,20887,20887,844.2566321768387,844.2566321768387,844.2566321768387
4/22/19,malaria,CABO DELGADO,Observado,14137,14137,14137,571.1016537817039,571.1016537817039,571.1016537817039
4/29/19,malaria,CABO DELGADO,Observado,14677,14677,14677,592.5927834237247,592.5927834237247,592.5927834237247
